[GIN] 2026/06/02 - 14:49:56 | 200 |       518.7µs |       127.0.0.1 | GET      "/api/capacity-ratio"
[GIN] 2026/06/02 - 14:49:56 | 200 |     83.9924ms |       127.0.0.1 | POST     "/api/forecast/recompute"
[GIN] 2026/06/02 - 14:49:56 | 200 |      5.8814ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:49:56 | 200 |      5.4553ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:49:57 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 14:53:56 | 200 |       521.8µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:53:56 | 200 |       535.1µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:53:56 | 200 |       511.8µs |       127.0.0.1 | GET      "/api/capacity-ratio"
[GIN] 2026/06/02 - 14:53:56 | 200 |     85.1588ms |       127.0.0.1 | POST     "/api/forecast/recompute"
[GIN] 2026/06/02 - 14:53:56 | 200 |      4.9287ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:53:56 | 200 |      5.3551ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:53:57 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 14:54:22 | 200 |      1.0482ms |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:54:22 | 200 |      7.4416ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 14:54:23 | 200 |    337.7156ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 14:54:23 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 14:55:02 | 200 |       528.7µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:55:02 | 200 |      1.1575ms |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:55:02 | 200 |       530.3µs |       127.0.0.1 | GET      "/api/capacity-ratio"
[GIN] 2026/06/02 - 14:55:02 | 200 |     82.9908ms |       127.0.0.1 | POST     "/api/forecast/recompute"
[GIN] 2026/06/02 - 14:55:02 | 200 |      5.5176ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:55:02 | 200 |      8.2026ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:55:03 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 14:55:16 | 200 |     15.4444ms |       127.0.0.1 | POST     "/api/batches/BATCH-202606-XS-002-55027840/confirm"
[GIN] 2026/06/02 - 14:55:16 | 200 |      5.3707ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
